Title,Release,Genre,Rating,Runtime,Revenue,Decade
American Psycho,2000,Comedy,7.6,101,15.070285,2000
Lola rennt,1998,Crime,7.6,81,7.267585,1990
The Thin Red Line,1998,Drama,7.6,170,36.400491,1990
Mulan,1998,Animation,7.6,88,120.620254,1990
Fear and Loathing in Las Vegas,1998,Adventure,7.6,118,10.680275,1990
Funny Games,1997,Crime,7.6,108,,1990
Dark City,1998,Mystery,7.6,100,14.378331,1990
Sleepers,1996,Crime,7.6,147,49.1,1990
Lost Highway,1997,Mystery,7.6,134,3.796699,1990
Sense and Sensibility,1995,Drama,7.6,136,43.182776,1990
Die Hard: With a Vengeance,1995,Action,7.6,128,100.012499,1990
Dead Man,1995,Adventure,7.6,121,1.037847,1990
The Bridges of Madison County,1995,Drama,7.6,135,71.516617,1990
Trois couleurs: Blanc,1994,Comedy,7.6,92,1.464625,1990
Falling Down,1993,Action,7.6,113,40.903593,1990
Dazed and Confused,1993,Comedy,7.6,102,7.993039,1990
My Cousin Vinny,1992,Comedy,7.6,120,52.929168,1990
Omohide poro poro,1991,Animation,7.6,118,0.453243,1990
Delicatessen,1991,Comedy,7.6,99,1.794187,1990
Home Alone,1990,Comedy,7.6,103,285.761243,1990
The Godfather: Part III,1990,Crime,7.6,162,66.666062,1990
When Harry Met Sally...,1989,Comedy,7.6,95,92.8236,1980
The Little Mermaid,1989,Animation,7.6,83,111.543479,1980
The Naked Gun: From the Files of Police Squad!,1988,Comedy,7.6,85,78.756177,1980
"Planes, Trains & Automobiles",1987,Comedy,7.6,93,49.53028,1980
Lethal Weapon,1987,Action,7.6,109,65.207127,1980
Blood Simple,1984,Crime,7.6,99,2.15,1980
On Golden Pond,1981,Drama,7.6,109,119.285432,1980
Mad Max 2,1981,Action,7.6,96,12.465371,1980
The Warriors,1979,Action,7.6,92,22.490039,1970
The Muppet Movie,1979,Adventure,7.6,95,76.657,1970
Escape from Alcatraz,1979,Action,7.6,112,43.0,1970
Watership Down,1978,Animation,7.6,91,,1970
Midnight Express,1978,Biography,7.6,121,35.0,1970
Close Encounters of the Third Kind,1977,Drama,7.6,138,132.088635,1970
The Long Goodbye,1973,Comedy,7.6,112,0.959,1970
Giù la testa,1971,Drama,7.6,157,0.69669,1970
Kelly's Heroes,1970,Adventure,7.6,144,1.378435,1970
The Jungle Book,1967,Animation,7.6,78,141.843612,1960
Blowup,1966,Drama,7.6,111,,1960
A Hard Day's Night,1964,Comedy,7.6,87,13.780024,1960
Breakfast at Tiffany's,1961,Comedy,7.6,115,,1960
Giant,1956,Drama,7.6,201,,1950
From Here to Eternity,1953,Drama,7.6,118,30.5,1950
Lifeboat,1944,Drama,7.6,97,,1940
The 39 Steps,1935,Crime,7.6,86,,1930
